Quelle_Pfad	Ziel_Pfad
Blightlord-Terminator	Warhammer 40,000/Chaos/Death Guard/Blightlord Terminator
Deathshroud-Bodyguard	Warhammer 40,000/Chaos/Death Guard/Deathshroud Bodyguard
Plague-Marine	Warhammer 40,000/Chaos/Death Guard/Plaguemarine
Poxwalker	Warhammer 40,000/Chaos/Death Guard/Poxwalker
Mortarion Chosen	Warhammer 40,000/Chaos/Death Guard/Mortarion Chosen
Myphitic Blighthauler	Warhammer 40,000/Chaos/Death Guard/Myphitic Blighthauler
Gondor Swordsman	Lord of the Rings/Gondor/Gondor Swordsman
Gondor Captain	Lord of the Rings/Gondor/Gondor Captain
Gondor Spearman	Lord of the Rings/Gondor/Gondor Spearman
Biologus Putrifier	Warhammer 40,000/Chaos/Death Guard/Biologus Putrifier
Gondor Archer	Lord of the Rings/Gondor/Gondor Archer
Venomcrawler	Warhammer 40,000/Chaos/Death Guard/Venomcrawler
Gondor Bannerman	Lord of the Rings/Gondor/Gondor Bannerman
Mordor-Ork	Lord of the Rings/Mordor/Mordor Ork
Gondor Bowman	Lord of the Rings/Gondor/Gondor Bowman
Gondor Swordman	Lord of the Rings/Gondor/Gondor Swordsman
Rohan-Archer	Lord of the Rings/Rohan/Rohan Archer
Rohan-Spearman	Lord of the Rings/Rohan/Rohan Spearman
Rohan-Swordsman	Lord of the Rings/Rohan/Rohan Swordsman
Chaos-Captain	Warhammer 40,000/Chaos/World Eater/Chaos Captain
Chaos-Defiler	Warhammer 40,000/Chaos/World Eater/Chaos Defiler
Chaos-Marine	Warhammer 40,000/Chaos/World Eater/Chaos Marine
Myphitic-Blight-hauler	Warhammer 40,000/Chaos/Death Guard/Myphitic Blight-hauler
Krieger-von-Minas-Tirith	Lord of the Rings/Gondor/Krieger von Minas Tirith
Sequitor	Age of Sigmar/Order/Stormcast Eternals/Sequitor
Hearthkyn-Salvager	Warhammer 40,000/Xenos/Leagues of Votann/Hearthkyn Salvager
Ku'gath-Plaguefather	Age of Sigmar/Chaos/Maggotkin of Nurgle/Ku'gath Plaguefather
Ork-Archer	Lord of the Rings/Mordor/Ork Archer
Terminator	Warhammer 40,000/Chaos/World Eater/Terminator
Baba-Yaga-Hut	Sonstige/Baba-Yaga-Hut
Cerberus	Sonstige/Cerberus
Halberdier	Sonstige/Halberdier
